0 [915.037 945.0
100 9.45e+02
200 9.45e+02
300 9.45e+02
400 9.45e+02
500 9.45e+02
600 9.45e+02
700 9.45e+02
800 9.45e+02
900 9.45e+02
1000 9.45e+02
1100 9.45e+02
1200 9.45e+02
1300 9.45e+02
1400 9.45e+02
1500 9.45e+02
1600 9.45e+02
1700 9.45e+02
1800 9.45e+02
1900 9.45e+02
2000 9.45e+02
2100 9.45e+02
2200 9.45e+02
2300 9.45e+02
2400 9.45e+02
2500 9.45e+02
2600 9.45e+02
2700 9.45e+02
2800 9.45e+02
2900 9.45e+02
3000 9.45e+02
3037 944.98584
3087 944.98584
3092 944.9843
3100 9.45e+02
3145 944.9831
0 [9.12e+02]
3300 [9.12e+02]
3400 [9.12e+02]
3500 [9.12e+02]
3600 [9.12e+02]
3700 [9.12e+02]
3800 [9.12e+02]
3900 [9.12e+02]
4000 [9.12e+02]
4100 [9.12e+02]
4200 [9.12e+02]
4300 [9.12e+02]
4400 [9.12e+02]
4500 [9.12e+02]
4600 [9.12e+02]
4700 [9.12e+02]
4800 [9.12e+02]
4900 [9.12e+02]
5000 [9.12e+02]
5100 [9.12e+02]
5200 [9.11e+02]
5300 [9.11e+02]
5400 [9.11e+02]
5500 [9.11e+02]
5600 [9.11e+02]
5700 [9.11e+02]
5800 [9.11e+02]
5900 [9.11e+02]
6000 [9.11e+02]
6100 [9.11e+02]
6200 [9.11e+02]
6300 [9.11e+02]
6400 [9.11e+02]
6500 [9.11e+02]
6600 [9.11e+02]
6700 [9.11e+02]
6800 [9.11e+02]
6900 [9.11e+02]
7000 [9.11e+02]
7100 [9.11e+02]
7200 [9.11e+02]
7300 [9.10e+02]
7400 [9.10e+02]
7500 [9.10e+02]
7600 [9.10e+02]
7700 [9.10e+02]
7800 [9.10e+02]
7900 [9.10e+02]
8000 [9.10e+02]
8100 [9.10e+02]
8200 [9.10e+02]
8300 [9.10e+02]
8400 [9.10e+02]
8500 [9.10e+02]
8600 [9.10e+02]
8700 [9.10e+02]
8800 [9.10e+02]
8900 [9.10e+02]
9000 [9.10e+02]
9100 [9.10e+02]
9200 [9.10e+02]
9300 [9.10e+02]
9400 [9.09e+02]
9500 [9.09e+02]
9600 [9.09e+02]
9700 [9.09e+02]
9800 [9.09e+02]
9900 [9.09e+02]
10000 [9.09e+02]
